"","PWGTP","SEX","AGEP","CIT","COW","ENG","FER","JWMNP","LANX","MAR","SCHL","WAGP","ESR","WKHP","WRK","NATIVITY","PINCP","ENG_c","CIT_c","Work_Class","FER_c","SEX_c","AGE_C"
"1460",45,2,75,1,NA,NA,NA,NA,2,1,"18",0,6,NA,2,1,29000,NA,"Born in US",NA,NA,"Female","65-75"
"1461",68,2,55,1,1,NA,NA,10,2,3,"16",28800,1,40,1,1,35500,NA,"Born in US","Private",NA,"Female","31-64"
"1462",36,2,16,1,NA,1,2,NA,1,5,"14",0,6,NA,2,1,0,"Very Well","Born in US",NA,"No","Female","14-18"
"1463",41,1,75,4,NA,2,NA,NA,1,1,"21",0,6,NA,2,2,57100,"Well","US Citizen by Naturalization",NA,NA,"Male","65-75"
"1464",40,2,69,4,NA,2,NA,NA,1,1,"21",0,6,NA,2,2,27840,"Well","US Citizen by Naturalization",NA,NA,"Female","65-75"
"1465",87,1,39,1,1,NA,NA,9,2,5,"15",74000,1,60,1,1,78400,NA,"Born in US","Private",NA,"Male","31-64"
"1466",59,2,7,1,NA,NA,NA,NA,2,5,"03",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","6-13"
"1467",88,2,43,5,6,2,2,NA,1,5,"18",0,6,35,2,2,9900,"Well","Not a citizen of the US","Self-Employed","No","Female","31-64"
"1468",191,1,35,5,1,2,NA,15,1,1,"14",58000,1,40,1,2,58010,"Well","Not a citizen of the US","Private",NA,"Male","31-64"
"1469",159,2,33,5,1,2,2,20,1,1,"13",55000,1,40,1,2,55010,"Well","Not a citizen of the US","Private","No","Female","31-64"
"1470",151,2,16,1,NA,1,2,NA,1,5,"13",0,6,NA,2,1,0,"Very Well","Born in US",NA,"No","Female","14-18"
"1471",191,2,11,1,NA,1,NA,NA,1,5,"09",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Female","6-13"
"1472",191,2,9,1,NA,1,NA,NA,1,5,"06",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Female","6-13"
"1473",73,1,48,4,1,1,NA,45,1,1,"22",186000,1,40,1,2,196000,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"1474",67,2,44,4,NA,1,2,NA,1,1,"20",0,6,NA,2,2,0,"Very Well","US Citizen by Naturalization",NA,"No","Female","31-64"
"1475",71,2,6,1,NA,1,NA,NA,1,5,"03",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Female","6-13"
"1476",77,2,74,5,NA,2,NA,NA,1,2,"16",0,6,NA,2,2,0,"Well","Not a citizen of the US",NA,NA,"Female","65-75"
"1477",49,1,74,4,NA,2,NA,NA,1,1,"15",0,6,NA,2,2,57700,"Well","US Citizen by Naturalization",NA,NA,"Male","65-75"
"1478",55,2,71,5,6,2,NA,NA,1,1,"10",0,6,NA,2,2,4300,"Well","Not a citizen of the US","Self-Employed",NA,"Female","65-75"
"1479",101,1,46,1,7,1,NA,45,1,5,"21",26000,1,35,1,1,26000,"Very Well","Born in US","Self-Employed",NA,"Male","31-64"
"1480",70,2,43,1,1,2,2,25,1,3,"19",34000,1,45,1,1,34000,"Well","Born in US","Private","No","Female","31-64"
"1481",57,2,23,1,1,1,2,NA,1,5,"16",4400,6,20,2,1,4400,"Very Well","Born in US","Private","No","Female","19-30"
"1482",44,1,18,3,NA,2,NA,NA,1,5,"18",0,6,NA,NA,1,0,"Well","Born Abroad by American Parent",NA,NA,"Male","14-18"
"1483",51,1,71,4,NA,2,NA,NA,1,1,"21",0,6,NA,2,2,23400,"Well","US Citizen by Naturalization",NA,NA,"Male","65-75"
"1484",53,2,51,4,1,3,NA,NA,1,1,"20",0,6,NA,2,2,15100,"Not Well","US Citizen by Naturalization","Private",NA,"Female","31-64"
"1485",210,1,43,4,1,1,NA,NA,1,1,"20",80000,2,40,1,2,85000,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"1486",174,2,41,4,1,1,2,NA,1,1,"21",1e+05,2,40,1,2,103000,"Very Well","US Citizen by Naturalization","Private","No","Female","31-64"
"1487",176,1,19,1,1,1,NA,NA,1,5,"16",72000,2,40,1,1,72010,"Very Well","Born in US","Private",NA,"Male","19-30"
"1488",169,1,15,1,NA,1,NA,NA,1,5,"12",0,NA,NA,NA,1,0,"Very Well","Born in US",NA,NA,"Male","14-18"
"1489",105,1,21,4,1,1,NA,NA,1,5,"16",40000,2,40,1,2,40010,"Very Well","US Citizen by Naturalization","Private",NA,"Male","19-30"
"1490",50,1,66,1,6,NA,NA,20,2,1,"22",0,1,40,NA,1,99000,NA,"Born in US","Self-Employed",NA,"Male","65-75"
"1491",58,2,65,1,6,NA,NA,NA,2,1,"23",0,1,15,NA,1,54500,NA,"Born in US","Self-Employed",NA,"Female","65-75"
"1492",59,1,36,5,1,1,NA,35,1,1,"22",565000,1,50,1,2,565000,"Very Well","Not a citizen of the US","Private",NA,"Male","31-64"
"1493",54,2,34,5,1,1,1,8,1,1,"22",150000,1,45,1,2,153000,"Very Well","Not a citizen of the US","Private","Yes","Female","31-64"
"1494",55,2,0,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","5 and under"
"1495",318,2,34,4,1,1,1,NA,1,1,"21",60000,1,40,1,2,60050,"Very Well","US Citizen by Naturalization","Private","Yes","Female","31-64"
"1496",357,1,34,5,1,1,NA,NA,1,1,"22",120000,2,40,1,2,122000,"Very Well","Not a citizen of the US","Private",NA,"Male","31-64"
"1497",319,1,0,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","5 and under"
"1498",86,1,71,1,1,NA,NA,NA,2,1,"19",0,6,NA,2,1,63500,NA,"Born in US","Private",NA,"Male","65-75"
"1499",99,2,71,1,2,NA,NA,NA,2,1,"16",0,6,NA,2,1,26500,NA,"Born in US","Private",NA,"Female","65-75"
"1500",179,1,43,5,1,3,NA,NA,1,1,"12",50000,2,40,1,2,50010,"Not Well","Not a citizen of the US","Private",NA,"Male","31-64"
"1501",166,2,42,4,NA,2,2,NA,1,1,"12",0,6,NA,2,2,2400,"Well","US Citizen by Naturalization",NA,"No","Female","31-64"
"1502",182,1,20,1,NA,1,NA,NA,1,5,"19",0,6,NA,2,1,0,"Very Well","Born in US",NA,NA,"Male","19-30"
"1503",141,2,16,1,NA,1,2,NA,1,5,"12",0,6,NA,2,1,0,"Very Well","Born in US",NA,"No","Female","14-18"
"1504",181,2,14,1,NA,1,NA,NA,1,5,"10",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Female","14-18"
"1505",148,1,36,5,1,2,NA,NA,1,1,"16",50000,2,40,1,2,47700,"Well","Not a citizen of the US","Private",NA,"Male","31-64"
"1506",115,2,34,5,NA,2,2,NA,1,1,"12",0,6,NA,2,2,2400,"Well","Not a citizen of the US",NA,"No","Female","31-64"
"1507",149,1,6,1,NA,1,NA,NA,1,5,"04",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","6-13"
"1508",208,1,4,1,NA,NA,NA,NA,NA,5,"01",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","5 and under"
"1509",58,2,79,4,NA,1,NA,NA,1,1,"23",0,6,NA,2,2,40000,"Very Well","US Citizen by Naturalization",NA,NA,"Female","over 75"
"1510",49,1,83,4,NA,1,NA,NA,1,1,"21",0,6,NA,2,2,21900,"Very Well","US Citizen by Naturalization",NA,NA,"Male","over 75"
"1511",34,1,55,4,1,1,NA,10,1,1,"20",60000,1,40,1,2,60000,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"1512",37,2,44,4,1,2,2,40,1,1,"20",60000,1,40,1,2,60000,"Well","US Citizen by Naturalization","Private","No","Female","31-64"
"1513",51,2,31,1,1,NA,2,15,2,5,"21",28800,1,40,1,1,28800,NA,"Born in US","Private","No","Female","31-64"
"1514",65,2,31,1,NA,NA,2,NA,2,5,"15",0,6,NA,2,1,0,NA,"Born in US",NA,"No","Female","31-64"
"1515",72,2,37,4,1,NA,2,30,2,1,"22",222000,1,55,1,2,222000,NA,"US Citizen by Naturalization","Private","No","Female","31-64"
"1516",58,1,35,5,1,NA,NA,25,2,1,"22",160000,1,40,1,2,160000,NA,"Not a citizen of the US","Private",NA,"Male","31-64"
"1517",178,1,72,4,NA,2,NA,NA,1,1,"16",0,6,NA,2,2,21650,"Well","US Citizen by Naturalization",NA,NA,"Male","65-75"
"1518",202,2,68,4,NA,2,NA,NA,1,1,"16",0,6,NA,2,2,18050,"Well","US Citizen by Naturalization",NA,NA,"Female","65-75"
"1519",55,1,81,4,NA,2,NA,NA,1,1,"23",0,6,NA,2,2,43200,"Well","US Citizen by Naturalization",NA,NA,"Male","over 75"
"1520",65,2,77,4,NA,2,NA,NA,1,1,"21",0,6,NA,2,2,38400,"Well","US Citizen by Naturalization",NA,NA,"Female","over 75"
"1521",119,1,41,4,1,1,NA,45,1,5,"22",90000,1,40,1,2,90000,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"1522",78,1,35,4,1,NA,NA,NA,2,5,"21",0,3,NA,2,2,1200,NA,"US Citizen by Naturalization","Private",NA,"Male","31-64"
"1523",100,1,34,4,1,NA,NA,30,2,5,"19",28000,1,40,1,2,28000,NA,"US Citizen by Naturalization","Private",NA,"Male","31-64"
"1524",63,2,54,1,1,NA,NA,90,2,1,"19",71000,1,24,1,1,72000,NA,"Born in US","Private",NA,"Female","31-64"
"1525",56,1,63,1,1,NA,NA,90,2,1,"19",118000,1,40,1,1,118000,NA,"Born in US","Private",NA,"Male","31-64"
"1526",49,1,11,1,NA,NA,NA,NA,2,5,"07",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","6-13"
"1527",271,1,35,1,1,NA,NA,NA,2,5,"19",55000,2,40,1,1,55020,NA,"Born in US","Private",NA,"Male","31-64"
"1528",290,2,10,1,NA,NA,NA,NA,2,5,"05",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","6-13"
"1529",108,2,67,1,5,NA,NA,90,2,3,"21",120000,1,40,NA,1,117700,NA,"Born in US","Government",NA,"Female","65-75"
"1530",73,1,40,1,1,NA,NA,70,2,1,"20",50000,1,50,1,1,50000,NA,"Born in US","Private",NA,"Male","31-64"
"1531",72,2,37,1,1,NA,2,60,2,1,"21",75000,1,50,1,1,75140,NA,"Born in US","Private","No","Female","31-64"
"1532",66,1,53,1,1,NA,NA,15,2,5,"18",66000,1,40,1,1,66270,NA,"Born in US","Private",NA,"Male","31-64"
"1533",47,2,49,1,1,NA,2,141,2,2,"19",1900,1,20,1,1,4200,NA,"Born in US","Private","No","Female","31-64"
"1534",45,2,70,1,NA,NA,NA,NA,2,3,"16",0,6,NA,2,1,18600,NA,"Born in US",NA,NA,"Female","65-75"
"1535",179,1,55,1,1,NA,NA,NA,2,5,"21",1e+05,2,40,1,1,110000,NA,"Born in US","Private",NA,"Male","31-64"
"1536",53,1,37,5,2,3,NA,15,1,5,"01",23100,1,40,1,2,23100,"Not Well","Not a citizen of the US","Private",NA,"Male","31-64"
"1537",43,2,29,5,2,4,1,NA,1,5,"12",0,6,NA,2,2,0,"Not at all","Not a citizen of the US","Private","Yes","Female","19-30"
"1538",64,2,33,5,1,NA,2,30,2,5,"12",60000,1,40,1,2,60000,NA,"Not a citizen of the US","Private","No","Female","31-64"
"1539",86,1,30,5,1,NA,NA,20,2,5,"18",22900,1,60,1,2,22900,NA,"Not a citizen of the US","Private",NA,"Male","19-30"
"1540",46,2,58,1,1,NA,NA,35,2,5,"19",55000,1,48,1,1,55000,NA,"Born in US","Private",NA,"Female","31-64"
"1541",143,1,54,4,1,2,NA,NA,1,4,"16",36000,2,40,1,2,36010,"Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"1542",220,1,81,4,NA,2,NA,NA,1,2,"16",0,6,NA,2,2,20430,"Well","US Citizen by Naturalization",NA,NA,"Male","over 75"
"1543",93,2,32,4,NA,1,2,NA,1,1,"21",0,6,NA,2,2,200,"Very Well","US Citizen by Naturalization",NA,"No","Female","31-64"
"1544",105,1,31,4,1,1,NA,NA,1,1,"22",150000,2,40,1,2,153000,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"1545",94,2,1,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","5 and under"
"1546",80,2,69,4,1,NA,NA,NA,2,1,"21",0,6,NA,2,2,43200,NA,"US Citizen by Naturalization","Private",NA,"Female","65-75"
"1547",99,1,77,1,NA,1,NA,NA,1,1,"19",0,6,NA,2,1,0,"Very Well","Born in US",NA,NA,"Male","over 75"
"1548",121,1,47,1,1,NA,NA,NA,2,5,"21",0,6,NA,2,1,52000,NA,"Born in US","Private",NA,"Male","31-64"
"1549",161,1,42,1,9,NA,NA,NA,2,5,"16",0,3,NA,2,1,0,NA,"Born in US","Unemployed",NA,"Male","31-64"
"1550",178,2,41,4,1,NA,2,45,2,5,"16",12500,1,25,1,2,12500,NA,"US Citizen by Naturalization","Private","No","Female","31-64"
"1551",51,2,63,4,NA,1,NA,NA,1,1,"20",0,6,NA,2,2,0,"Very Well","US Citizen by Naturalization",NA,NA,"Female","31-64"
"1552",56,1,68,4,NA,2,NA,NA,1,1,"16",0,6,NA,2,2,10200,"Well","US Citizen by Naturalization",NA,NA,"Male","65-75"
"1553",76,2,32,1,1,1,2,30,1,5,"21",48000,1,40,1,1,48000,"Very Well","Born in US","Private","No","Female","31-64"
"1554",76,2,30,1,1,1,1,30,1,5,"16",41000,1,40,1,1,41000,"Very Well","Born in US","Private","Yes","Female","19-30"
"1555",63,1,7,3,NA,1,NA,NA,1,5,"05",NA,NA,NA,NA,1,NA,"Very Well","Born Abroad by American Parent",NA,NA,"Male","6-13"
"1556",62,1,6,3,NA,1,NA,NA,1,5,"04",NA,NA,NA,NA,1,NA,"Very Well","Born Abroad by American Parent",NA,NA,"Male","6-13"
"1557",133,1,35,4,1,3,NA,20,1,1,"16",55000,1,40,1,2,55000,"Not Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"1558",124,2,37,4,1,3,2,15,1,1,"16",20000,1,40,1,2,20000,"Not Well","US Citizen by Naturalization","Private","No","Female","31-64"
"1559",134,2,14,1,NA,1,NA,NA,1,5,"10",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Female","14-18"
"1560",146,1,12,1,NA,1,NA,NA,1,5,"10",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","6-13"
"1561",147,1,7,1,NA,1,NA,NA,1,5,"04",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","6-13"
"1562",69,2,40,4,1,1,2,45,1,5,"22",139000,1,40,1,2,139000,"Very Well","US Citizen by Naturalization","Private","No","Female","31-64"
"1563",95,1,44,4,1,2,NA,NA,1,1,"21",70000,1,40,1,2,70000,"Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"1564",91,2,36,4,1,2,2,45,1,1,"21",50000,1,40,1,2,50000,"Well","US Citizen by Naturalization","Private","No","Female","31-64"
"1565",51,1,6,1,NA,1,NA,NA,1,5,"03",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","6-13"
"1566",63,2,4,1,NA,NA,NA,NA,NA,5,"03",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","5 and under"
"1567",71,1,51,2,1,1,NA,NA,1,3,"16",60000,2,40,1,1,60010,"Very Well","Born in US Territory","Private",NA,"Male","31-64"
"1568",66,1,28,1,1,1,NA,NA,1,5,"16",42000,2,40,1,1,42000,"Very Well","Born in US","Private",NA,"Male","19-30"
"1569",99,2,75,2,3,1,NA,NA,1,2,"16",0,6,NA,2,1,12200,"Very Well","Born in US Territory","Government",NA,"Female","65-75"
"1570",135,2,49,1,4,NA,2,5,2,3,"21",63000,1,40,1,1,64200,NA,"Born in US","Government","No","Female","31-64"
"1571",144,1,11,1,NA,NA,NA,NA,2,5,"09",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","6-13"
"1572",136,1,46,1,NA,NA,NA,NA,2,5,"17",0,6,NA,2,1,0,NA,"Born in US",NA,NA,"Male","31-64"
"1573",153,2,41,1,1,NA,2,90,2,5,"16",33000,1,40,1,1,33000,NA,"Born in US","Private","No","Female","31-64"
"1574",70,2,40,4,3,NA,2,45,2,3,"18",70000,1,40,1,2,70000,NA,"US Citizen by Naturalization","Government","No","Female","31-64"
"1575",67,2,7,1,NA,NA,NA,NA,2,5,"03",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","6-13"
"1576",85,2,41,1,NA,NA,2,NA,2,1,"16",0,6,NA,NA,1,0,NA,"Born in US",NA,"No","Female","31-64"
"1577",79,1,43,1,1,NA,NA,NA,2,1,"16",0,3,NA,NA,1,0,NA,"Born in US","Private",NA,"Male","31-64"
"1578",101,1,10,1,NA,NA,NA,NA,2,5,"06",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","6-13"
"1579",101,1,5,1,NA,NA,NA,NA,2,5,"02",NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","5 and under"
"1580",77,2,56,1,6,NA,NA,80,2,1,"18",0,1,35,1,1,12000,NA,"Born in US","Self-Employed",NA,"Female","31-64"
"1581",70,1,58,1,6,NA,NA,45,2,1,"16",18700,1,40,NA,1,30600,NA,"Born in US","Self-Employed",NA,"Male","31-64"
"1582",59,2,55,4,4,1,NA,95,1,1,"24",85000,1,40,1,2,85360,"Very Well","US Citizen by Naturalization","Government",NA,"Female","31-64"
"1583",69,1,60,4,4,1,NA,25,1,1,"22",108000,1,40,1,2,132650,"Very Well","US Citizen by Naturalization","Government",NA,"Male","31-64"
"1584",92,1,29,1,1,1,NA,NA,1,5,"21",4100,6,50,2,1,4100,"Very Well","Born in US","Private",NA,"Male","19-30"
"1585",92,1,26,1,1,1,NA,NA,1,5,"21",0,6,NA,2,1,470,"Very Well","Born in US","Private",NA,"Male","19-30"
"1586",52,1,66,1,1,NA,NA,40,2,1,"16",1e+05,1,40,1,1,101210,NA,"Born in US","Private",NA,"Male","65-75"
"1587",47,2,73,1,NA,NA,NA,NA,2,1,"18",0,6,NA,2,1,130900,NA,"Born in US",NA,NA,"Female","65-75"
"1588",71,1,52,1,1,NA,NA,NA,2,3,"16",0,6,NA,2,1,0,NA,"Born in US","Private",NA,"Male","31-64"
"1589",64,1,43,5,1,1,NA,10,1,1,"15",130000,1,50,1,2,130000,"Very Well","Not a citizen of the US","Private",NA,"Male","31-64"
"1590",54,2,39,5,1,2,2,5,1,1,"15",6000,1,40,1,2,6000,"Well","Not a citizen of the US","Private","No","Female","31-64"
"1591",71,2,21,1,1,1,2,5,1,5,"19",8000,1,12,1,1,8000,"Very Well","Born in US","Private","No","Female","19-30"
"1592",51,1,16,1,1,1,NA,10,1,5,"14",5000,1,12,1,1,5000,"Very Well","Born in US","Private",NA,"Male","14-18"
"1593",53,1,16,1,1,1,NA,10,1,5,"14",2000,1,12,1,1,2000,"Very Well","Born in US","Private",NA,"Male","14-18"
"1594",32,2,30,4,1,1,2,20,1,5,"21",96000,1,90,1,2,96000,"Very Well","US Citizen by Naturalization","Private","No","Female","19-30"
"1595",37,1,24,1,1,NA,NA,20,2,5,"21",70000,1,99,1,1,70000,NA,"Born in US","Private",NA,"Male","19-30"
"1596",55,1,77,4,NA,3,NA,NA,1,1,"21",0,6,NA,2,2,10900,"Not Well","US Citizen by Naturalization",NA,NA,"Male","over 75"
"1597",54,2,78,5,NA,3,NA,NA,1,1,"19",0,6,NA,2,2,6300,"Not Well","Not a citizen of the US",NA,NA,"Female","over 75"
"1598",148,2,72,4,NA,1,NA,NA,1,1,"16",0,6,NA,2,2,19220,"Very Well","US Citizen by Naturalization",NA,NA,"Female","65-75"
"1599",198,1,61,4,NA,1,NA,NA,1,1,"16",0,6,NA,2,2,9620,"Very Well","US Citizen by Naturalization",NA,NA,"Male","31-64"
"1600",179,2,22,4,1,1,2,20,1,5,"16",25000,1,32,1,2,25000,"Very Well","US Citizen by Naturalization","Private","No","Female","19-30"
"1601",89,1,52,4,1,2,NA,50,1,1,"22",150000,1,40,1,2,150000,"Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"1602",76,2,44,4,1,1,2,NA,1,1,"22",0,6,NA,2,2,0,"Very Well","US Citizen by Naturalization","Private","No","Female","31-64"
"1603",81,2,12,1,NA,1,NA,NA,1,5,"10",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Female","6-13"
"1604",89,2,69,5,NA,1,NA,NA,1,3,"17",0,6,NA,2,2,0,"Very Well","Not a citizen of the US",NA,NA,"Female","65-75"
"1605",74,1,42,4,1,2,NA,50,1,1,"16",86000,1,70,NA,2,86000,"Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"1606",68,2,43,4,1,1,1,35,1,1,"21",40000,1,40,NA,2,40750,"Very Well","US Citizen by Naturalization","Private","Yes","Female","31-64"
"1607",78,2,23,1,1,1,2,45,1,5,"19",30100,1,15,NA,1,30100,"Very Well","Born in US","Private","No","Female","19-30"
"1608",74,2,13,1,NA,1,NA,NA,1,5,"09",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Female","6-13"
"1609",80,1,9,1,NA,1,NA,NA,1,5,"05",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","6-13"
"1610",99,2,37,1,2,NA,2,30,2,1,"22",88000,1,40,1,1,88000,NA,"Born in US","Private","No","Female","31-64"
"1611",104,1,36,1,1,NA,NA,80,2,1,"20",122000,1,48,1,1,122000,NA,"Born in US","Private",NA,"Male","31-64"
"1612",125,1,2,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Male","5 and under"
"1613",73,1,27,1,1,NA,NA,55,2,5,"21",81000,1,55,1,1,81000,NA,"Born in US","Private",NA,"Male","19-30"
"1614",92,1,28,1,1,NA,NA,18,2,5,"21",85000,1,55,1,1,85000,NA,"Born in US","Private",NA,"Male","19-30"
"1615",223,1,39,1,1,NA,NA,NA,2,5,"22",90000,2,40,1,1,90300,NA,"Born in US","Private",NA,"Male","31-64"
"1616",207,2,35,5,1,3,2,5,1,2,"15",22100,1,40,1,2,22100,"Not Well","Not a citizen of the US","Private","No","Female","31-64"
"1617",178,2,16,1,NA,1,2,NA,1,5,"13",0,6,NA,2,1,0,"Very Well","Born in US",NA,"No","Female","14-18"
"1618",224,1,13,1,NA,1,NA,NA,1,5,"10",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","6-13"
"1619",164,2,10,1,NA,1,NA,NA,1,5,"07",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Female","6-13"
"1620",98,1,53,5,1,1,NA,90,1,1,"22",170000,1,40,1,2,170000,"Very Well","Not a citizen of the US","Private",NA,"Male","31-64"
"1621",123,2,43,5,1,1,2,90,1,1,"22",110000,1,40,1,2,110000,"Very Well","Not a citizen of the US","Private","No","Female","31-64"
"1622",98,1,22,4,1,NA,NA,NA,2,5,"21",0,6,NA,2,2,0,NA,"US Citizen by Naturalization","Private",NA,"Male","19-30"
"1623",111,1,17,5,1,NA,NA,NA,2,5,"14",1100,6,4,2,2,1100,NA,"Not a citizen of the US","Private",NA,"Male","14-18"
"1624",170,1,25,5,1,1,NA,90,1,5,"22",11000,1,40,1,2,11000,"Very Well","Not a citizen of the US","Private",NA,"Male","19-30"
"1625",52,2,65,1,NA,NA,NA,NA,2,2,"16",0,6,NA,NA,1,30500,NA,"Born in US",NA,NA,"Female","65-75"
"1626",92,2,47,3,NA,NA,2,NA,2,3,"16",0,6,NA,NA,1,0,NA,"Born Abroad by American Parent",NA,"No","Female","31-64"
"1627",65,2,24,1,1,NA,2,15,2,5,"21",58000,1,40,NA,1,58000,NA,"Born in US","Private","No","Female","19-30"
"1628",53,2,81,4,NA,1,NA,NA,1,2,"16",0,6,NA,2,2,27150,"Very Well","US Citizen by Naturalization",NA,NA,"Female","over 75"
"1629",91,1,70,1,1,NA,NA,NA,2,3,"16",0,6,NA,NA,1,13500,NA,"Born in US","Private",NA,"Male","65-75"
"1630",149,1,42,4,2,1,NA,NA,1,1,"19",55000,2,40,1,2,55010,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"1631",149,2,40,1,NA,NA,2,NA,2,1,"16",0,6,NA,2,1,3610,NA,"Born in US",NA,"No","Female","31-64"
"1632",225,2,40,4,1,2,2,5,1,5,"19",33000,1,30,1,2,33010,"Well","US Citizen by Naturalization","Private","No","Female","31-64"
"1633",176,1,9,1,NA,1,NA,NA,1,5,"06",NA,NA,NA,NA,1,NA,"Very Well","Born in US",NA,NA,"Male","6-13"
"1634",217,2,1,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,"Born in US",NA,NA,"Female","5 and under"
"1635",228,1,46,5,1,2,NA,NA,1,5,"16",40000,2,40,1,2,40010,"Well","Not a citizen of the US","Private",NA,"Male","31-64"
"1636",117,2,64,4,NA,2,NA,NA,1,1,"22",0,6,NA,2,2,0,"Well","US Citizen by Naturalization",NA,NA,"Female","31-64"
"1637",109,1,71,4,NA,2,NA,NA,1,1,"22",0,6,NA,2,2,0,"Well","US Citizen by Naturalization",NA,NA,"Male","65-75"
"1638",63,2,66,1,1,NA,NA,30,2,3,"19",47000,1,40,1,1,47000,NA,"Born in US","Private",NA,"Female","65-75"
"1639",88,2,40,1,1,NA,2,25,2,5,"18",24000,1,40,1,1,24000,NA,"Born in US","Private","No","Female","31-64"
"1640",121,1,62,4,1,1,NA,10,1,5,"22",45000,1,40,1,2,45500,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"1641",300,2,81,1,NA,NA,NA,NA,2,2,"16",0,6,NA,2,1,24030,NA,"Born in US",NA,NA,"Female","over 75"
"1642",108,2,33,5,2,1,2,60,1,3,"22",1e+05,1,45,1,2,1e+05,"Very Well","Not a citizen of the US","Private","No","Female","31-64"
"1643",171,1,31,5,1,1,NA,40,1,5,"22",57000,1,40,1,2,57000,"Very Well","Not a citizen of the US","Private",NA,"Male","31-64"
"1644",115,2,24,5,2,NA,2,30,2,5,"21",17000,1,40,NA,2,17000,NA,"Not a citizen of the US","Private","No","Female","19-30"
"1645",40,1,34,5,1,1,NA,60,1,1,"22",175000,1,40,1,2,175000,"Very Well","Not a citizen of the US","Private",NA,"Male","31-64"
"1646",43,2,29,5,1,2,2,60,1,1,"22",75000,1,40,1,2,75000,"Well","Not a citizen of the US","Private","No","Female","19-30"
"1647",64,1,58,4,1,1,NA,20,1,1,"18",14000,1,14,1,2,14000,"Very Well","US Citizen by Naturalization","Private",NA,"Male","31-64"
"1648",62,2,56,4,1,1,NA,NA,1,1,"19",48300,2,40,2,2,48300,"Very Well","US Citizen by Naturalization","Private",NA,"Female","31-64"
"1649",93,1,29,1,1,NA,NA,NA,2,5,"18",0,3,NA,2,1,0,NA,"Born in US","Private",NA,"Male","19-30"
"1650",57,1,28,5,1,1,NA,50,1,1,"22",80000,1,40,1,2,80000,"Very Well","Not a citizen of the US","Private",NA,"Male","19-30"
"1651",75,2,28,5,1,1,2,25,1,1,"22",110000,1,40,1,2,110000,"Very Well","Not a citizen of the US","Private","No","Female","19-30"
"1652",116,1,31,1,1,NA,NA,15,2,1,"20",98000,1,55,1,1,98000,NA,"Born in US","Private",NA,"Male","31-64"
"1653",120,2,31,3,1,NA,2,45,2,1,"22",1e+05,1,40,1,1,1e+05,NA,"Born Abroad by American Parent","Private","No","Female","31-64"
